author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
КРОСТ;developer;https://www.cian.ru/sale/flat/296745446/;Москва;sale;flat;18;28;2;52.5;21577500;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/299765920/;Москва;sale;flat;6;34;2;47.4;21490000;Обручевский; Архитектора Власова;71к2;Воронцовская;Ever
Юрий Новиков;realtor;https://www.cian.ru/sale/flat/297582390/;Москва;sale;flat;11;14;2;55.0;21500000;Академический; Дмитрия Ульянова;30К3;Академическая;
ID 332745;unknown;https://www.cian.ru/sale/flat/299916046/;Москва;sale;flat;7;14;2;45.0;21500000;Савеловский; 8 Марта;2/10к2;Гражданская;
ID 39404589;developer;https://www.cian.ru/sale/flat/299905950/;Москва;sale;flat;25;34;2;45.5;21794500;Обручевский;;;Калужская;Эвер ЖК
Трансстройинвест;developer;https://www.cian.ru/sale/flat/299589669/;Москва;sale;flat;2;24;2;59.0;21784098;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
Трансстройинвест;developer;https://www.cian.ru/sale/flat/299589651/;Москва;sale;flat;2;24;2;59.6;21898808;Очаково-Матвеевское;Мичуринский проспект;72А;Озёрная;ОМ
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299208992/;Москва;sale;flat;11;22;2;60.0;21750000;Чертаново Северное;Кировоградская ;2;Чертановская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370723/;Москва;sale;flat;6;6;2;39.6;21780000;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
АЭРОБУС;real_estate_agent;https://www.cian.ru/sale/flat/299786756/;Москва;sale;flat;15;30;2;36.0;21798000;Хорошево-Мневники;Шелепихинская набережная;42к3;Народное Ополчение;FreeDOM
Трансстройинвест;developer;https://www.cian.ru/sale/flat/279911025/;Москва;sale;flat;2;23;2;61.4;21921949;Очаково-Матвеевское;Очаково мкр;;Озёрная;ОМ ЖК
MR Group;developer;https://www.cian.ru/sale/flat/293285306/;Москва;sale;flat;28;29;2;61.1;22044891;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
