author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/296082953/;Москва;sale;flat;15;36;1;32.8;22960000;Хорошево-Мневники;Шелепихинская набережная;34к1зд5;Шелепиха;Сердце Столицы
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/298884776/;Москва;sale;flat;21;22;1;46.0;23187755;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Prime Life Development;developer;https://www.cian.ru/sale/flat/299132451/;Москва;sale;flat;17;28;1;45.2;23392285;Нагатино-Садовники;Нагатинская ;к1вл1;Нагатинская;1-й Нагатинский
Брусника Обмен;real_estate_agent;https://www.cian.ru/sale/flat/295466321/;Москва;sale;flat;2;8;1;48.7;23290000;Раменки;Винницкая ;8к4;;Настоящее
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299651798/;Москва;sale;flat;9;16;1;35.0;23600000;Таганский;Марксистская ;1к1;Марксистская;
Эталон;developer;https://www.cian.ru/sale/flat/299226721/;Москва;sale;flat;23;27;1;39.6;23483803;Даниловский;1-я оч.;к13;Технопарк;Shagal
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380121/;Москва;sale;flat;13;24;1;35.7;23847600;Щукино;;;Октябрьское поле;Театральный Квартал ЖК
MR Group;developer;https://www.cian.ru/sale/flat/282209333/;Москва;sale;flat;2;57;1;38.27;23938033;Филевский парк;;;Фили;Фили Сити ЖК
October Group;developer;https://www.cian.ru/sale/flat/289490337/;Москва;sale;flat;13;29;1;42.4;23887175;Раменки; Лобачевского;124к3А;Аминьевская;Stories на Мосфильмовской
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/299234794/;Москва;sale;flat;8;23;1;41.3;23900000;Хорошево-Мневники;Жилой комплекс остров;2-й кв-л;Терехово ;Остров
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/295849037/;Москва;sale;flat;6;11;1;40.6;24000000;Раменки;Винницкая ;8к3;Раменки;Настоящее
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/297124341/;Москва;sale;flat;3;20;1;49.5;24057000;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Трансстройинвест;developer;https://www.cian.ru/sale/flat/297261567/;Москва;sale;flat;13;22;1;48.6;24069617;Останкинский;проспект Мира;105;ВДНХ;Сенатор
Эталон;developer;https://www.cian.ru/sale/flat/299793575/;Москва;sale;flat;26;35;1;45.1;24168954;Даниловский;;к1;Технопарк;Нагатино Ай-Ленд ЖК
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/298334392/;Москва;sale;flat;6;15;1;40.5;23981169;Раменки;Винницкая ;8к3;Раменки;Настоящее
Эталон;developer;https://www.cian.ru/sale/flat/299793580/;Москва;sale;flat;28;35;1;43.4;24347861;Даниловский;;к1;Технопарк;Нагатино Ай-Ленд ЖК
Донстрой;developer;https://www.cian.ru/sale/flat/294584034/;Москва;sale;flat;15;19;1;36.7;24247690;Хорошево-Мневники;Жилой комплекс остров;4;Мнёвники;Остров
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299850010/;Москва;sale;flat;7;12;1;47.18;24368470;;;В19 кв-л;Павшино;Сберсити ЖК
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516527/;Москва;sale;flat;4;11;1;47.0;24341300;;;В14 кв-л;Павшино;Сберсити ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299937025/;Москва;sale;flat;17;22;1;71.3;24500000;Тропарево-Никулино;проспект Вернадского;вл78;Проспект Вернадского;Академ-Палас
5 ДОНСКОЙ;developer;https://www.cian.ru/sale/flat/299380433/;Москва;sale;flat;22;75;1;47.48;24647722;Донской;5-й Донской проезд;вл21к6;Площадь Гагарина;The Five
